UDS_Scale,CSF_Scale,Is_Baseline,Replication,Method,Expected_Makespan,Overtime_Prob,Error
0.15,0.8,False,27,Stochastic-MILP,688.55,0.11,
0.15,0.8,False,27,LPT,688.55,0.11,
0.15,0.8,False,27,Deterministic,688.55,0.14,
0.15,0.8,False,27,Age-Stratified,692.8,0.13,
0.15,0.8,False,28,Stochastic-MILP,682.55,0.01,
0.15,0.8,False,28,LPT,681.5,0.01,
0.15,0.8,False,28,Deterministic,681.5,0.03,
0.15,0.8,False,28,Age-Stratified,685.35,0.05,
0.15,0.8,False,29,Stochastic-MILP,684.85,0.03,
0.15,0.8,False,29,LPT,685.0,0.03,
0.15,0.8,False,29,Deterministic,685.0,0.04,
0.15,0.8,False,29,Age-Stratified,685.6,0.04,
0.15,0.8,False,30,Stochastic-MILP,683.65,0.02,
0.15,0.8,False,30,LPT,683.95,0.02,
0.15,0.8,False,30,Deterministic,683.95,0.03,
0.15,0.8,False,30,Age-Stratified,684.35,0.04,
0.15,1.2,False,1,Stochastic-MILP,687.7,0.11,
0.15,1.2,False,1,LPT,687.55,0.11,
0.15,1.2,False,1,Deterministic,687.55,0.12,
0.15,1.2,False,1,Age-Stratified,693.85,0.16,
0.15,1.2,False,2,Stochastic-MILP,686.95,0.03,
0.15,1.2,False,2,LPT,686.1,0.02,
0.15,1.2,False,2,Deterministic,686.1,0.06,
0.15,1.2,False,2,Age-Stratified,686.3,0.02,
0.15,1.2,False,3,Stochastic-MILP,683.95,0.02,
0.15,1.2,False,3,LPT,683.95,0.02,
0.15,1.2,False,3,Deterministic,683.95,0.04,
0.15,1.2,False,3,Age-Stratified,684.9,0.02,
0.15,1.2,False,4,Stochastic-MILP,685.85,0.03,
0.15,1.2,False,4,LPT,686.0,0.04,
0.15,1.2,False,4,Deterministic,686.0,0.05,
0.15,1.2,False,4,Age-Stratified,690.55,0.1,
0.15,1.2,False,5,Stochastic-MILP,684.25,0.03,
0.15,1.2,False,5,LPT,684.5,0.02,
0.15,1.2,False,5,Deterministic,684.5,0.04,
0.15,1.2,False,5,Age-Stratified,687.15,0.07,
0.15,1.2,False,6,Stochastic-MILP,685.9,0.05,
0.15,1.2,False,6,LPT,685.9,0.05,
0.15,1.2,False,6,Deterministic,685.9,0.09,
0.15,1.2,False,6,Age-Stratified,690.05,0.09,
0.15,1.2,False,7,Stochastic-MILP,683.45,0.02,
0.15,1.2,False,7,LPT,683.45,0.02,
0.15,1.2,False,7,Deterministic,683.45,0.05,
0.15,1.2,False,7,Age-Stratified,687.7,0.05,
0.15,1.2,False,8,Stochastic-MILP,686.65,0.05,
0.15,1.2,False,8,LPT,686.65,0.05,
0.15,1.2,False,8,Deterministic,686.65,0.07,
0.15,1.2,False,8,Age-Stratified,687.25,0.07,
0.15,1.2,False,9,Stochastic-MILP,686.2,0.06,
0.15,1.2,False,9,LPT,686.35,0.06,
0.15,1.2,False,9,Deterministic,686.35,0.1,
0.15,1.2,False,9,Age-Stratified,690.65,0.08,
0.15,1.2,False,10,Stochastic-MILP,685.1,0.02,
0.15,1.2,False,10,LPT,685.1,0.02,
0.15,1.2,False,10,Deterministic,685.1,0.05,
0.15,1.2,False,10,Age-Stratified,685.85,0.02,
0.15,1.2,False,11,Stochastic-MILP,683.1,0.02,
0.15,1.2,False,11,LPT,682.95,0.02,
0.15,1.2,False,11,Deterministic,682.95,0.03,
0.15,1.2,False,11,Age-Stratified,685.65,0.02,
0.15,1.2,False,12,Stochastic-MILP,685.1,0.02,
0.15,1.2,False,12,LPT,685.1,0.02,
0.15,1.2,False,12,Deterministic,685.1,0.06,
0.15,1.2,False,12,Age-Stratified,693.8,0.15,
0.15,1.2,False,13,Stochastic-MILP,685.2,0.04,
0.15,1.2,False,13,LPT,684.9,0.04,
0.15,1.2,False,13,Deterministic,684.9,0.04,
0.15,1.2,False,13,Age-Stratified,688.3,0.07,
0.15,1.2,False,14,Stochastic-MILP,687.85,0.06,
0.15,1.2,False,14,LPT,687.85,0.06,
0.15,1.2,False,14,Deterministic,687.85,0.07,
0.15,1.2,False,14,Age-Stratified,692.3,0.12,
0.15,1.2,False,15,Stochastic-MILP,687.2,0.06,
0.15,1.2,False,15,LPT,685.5,0.03,
0.15,1.2,False,15,Deterministic,685.5,0.07,
0.15,1.2,False,15,Age-Stratified,690.35,0.09,
0.15,1.2,False,16,Stochastic-MILP,683.45,0.02,
0.15,1.2,False,16,LPT,683.45,0.02,
0.15,1.2,False,16,Deterministic,683.45,0.02,
0.15,1.2,False,16,Age-Stratified,688.15,0.09,
0.15,1.2,False,17,Stochastic-MILP,685.7,0.05,
0.15,1.2,False,17,LPT,685.1,0.04,
0.15,1.2,False,17,Deterministic,685.1,0.05,
